Id,Label
277,Jake Heggie
278,Roberto Sierra
279,Niels Gade
280,Goran Bregović
281,Leopold Kozeluch
282,Robert Fayrfax
283,Willem Pijper
284,Avery Claflin
285,Kristoffer Zegers
286,Robert de Visée
287,Klaas de Vries
288,Stefano Gervasoni
289,Vincenzo Galilei
290,Giacomo Puccini
291,Knut Nystedt
292,Leonid Hrabovsky
293,Francisco de la Torre
294,Alexander Kaloian
295,Tomás Luis de Victoria
296,Alfonso Ferrabosco the elder
297,John Tavener
298,Alvin Etler
299,Boris Tishchenko
300,Arcangelo Corelli
301,Albert E. Brumley
302,Laura Karpman
303,Thea Musgrave
304,Ignazio Pollice
305,Duarte Lôbo
306,André Ristic
307,Johann Nicolaus Mempel
308,Diego Ortiz
309,Christoph Bernhard
310,Artur Kapp
311,Ignaz Lachner
312,Vincent d'Indy
313,Thomas Simpson
314,Graham Waterhouse
315,Joan La Barbara
316,Fritz Seitz
317,Ferruccio Busoni
318,Pietro Vinci
319,Hamish MacCunn
320,Erkki Melartin
321,Mario Pilati
322,Michel van der Aa
323,Johann Gottlieb Naumann
324,John Mackey
325,Wojciech Długoraj
326,David Farquhar
327,Philippe Manoury
328,Maurizio Cazzati
329,Giovanni Valentini
330,Daniel Gottlob Türk
331,Mel Tormé
332,André Caplet
333,Glenn Gould
334,Maria Cattarina Calegari
335,Nikolai Rubinstein
336,Barney Childs
337,Baldassare Donato
338,Ferenc Erkel
339,Shirley Graham Du Bois
340,Luigi Cherubini
341,Philippe de Monte
342,Franco Alfano
343,John Eaton
344,Abraham van den Kerckhoven
345,Edwin Carr
346,Stephen Hartke
347,Heinrich Biber
348,Bartolomeo Barbarino
349,William Corbett
350,Sandrin
351,René Leibowitz
352,Maria Theresa von Paradis
353,John Coprario
354,John Bartlett
355,Robert Scott Thompson
356,Annette Vande Gorne
357,Albéric Magnard
358,Talivaldis Kenins
359,Louis Andriessen
360,Arnold Brunckhorst
361,Chen Yi
362,Mikołaj z Krakowa
363,Johann Caspar Kerll
364,Claude Bolling
365,Raimon de Miraval
366,Pierre Moulu
367,Robert Cambert
368,Leonard J. Lehrman
369,Robert Beaser
370,Dror Elimelech
371,Georg von Bertouch
372,Hans Zender
373,Mikhail Ippolitov-Ivanov
374,Tale Ognenovski
375,Borys Lyatoshynsky
376,Stephen Sondheim
377,Erik Chisholm
378,Gilles Binchois
379,Paolo Lorenzani
380,Ignaz Moscheles
381,Rodolphe Kreutzer
382,Gilad Hochman
383,Franz von Suppé
384,Gioseffo Zarlino
385,Olivier Messiaen
386,Joseph Achron
387,Bright Sheng
388,Dan Trueman
389,Mikis Theodorakis
390,Steven Mackey
391,Josef Tal
392,"Sophie Elisabeth, Duchess of Brunswick-Lüneburg"
393,Hugh Blair
394,Grimace
395,Samuel Coleridge-Taylor
396,"Denis, King of Portugal"
397,Leo Brouwer
398,Bernardo Pasquini
399,Michel Philippot
400,Paul Nauert
401,Claude Balbastre
402,Adrian Willaert
403,Giacomo Facco
404,Arnold Bax
405,Dmitry Smirnov
406,Ambroise Thomas
407,Johannes Ockeghem
408,Odo of Cluny
409,Franco Donatoni
410,Benjamin Speed
411,John Harbison
412,Alessandro Striggio
413,Reinhard Keiser
414,Maria Frederica von Stedingk
415,Morris Pert
416,Osvaldo Golijov
417,Ahn Eak-tai
418,Alec Templeton
419,Bertram Luard-Selby
420,Johannes de Limburgia
421,Paolo Bellasio
422,Harris Jayaraj
423,Max Wagenknecht
424,Francesco Portinaro
425,Milko Kelemen
426,Antonello da Caserta
427,Perissone Cambio
428,Yorgos Foudoulis
429,Jean Michel Jarre
430,André Ernest Modeste Grétry
431,Meinrad Schütter
432,Miguel de Fuenllana
433,Leroy Anderson
434,Stephen Foster
435,Derek Charke
436,Roy Henry
437,Roland Dyens
438,Darius Milhaud
439,Graham Fitkin
440,Gertrude of Dagsburg
441,Joaquín Rodrigo
442,Yves Prin
443,Robin Holloway
444,Jacob Obrecht
445,Ivan Lukačić
446,Walter Zimmermann
447,Christopher Tye
448,Agostino Agazzari
449,Alvin Curran
450,Jean Maillard
451,Gregorio Allegri
452,Guy Ropartz
453,Carlos Sandoval
454,Charles Dodge
455,Michael Abels
456,Carl Philipp Emanuel Bach
457,Johann Gottfried Eckard
458,Robert Carl
459,Chou Wen-chung
460,Friedrich Goldmann
461,Gaucelm Faidit
462,Zsigmond Szathmáry
463,S. P. Somtow
464,Charles-Louis Hanon
465,Wilhelm Killmayer
466,Rosa Giacinta Badalla
467,Nikolai Medtner
468,Jorge Boehringer
469,Glenn Branca
470,James Barnes
471,Ron Goodwin
472,François de Fossa
473,Antonio Vivaldi
474,Didier van Damme
475,Antoine Busnois
476,David Baker
477,Francesco Manfredini
478,Claudio Saracini
479,Bill Hopkins
480,Georg Philipp Telemann
481,Ian Munro
482,Giovanni Battista Fontana
483,Pietro Francesco Cavalli
484,Peter Schickele
485,Dave Bartholomew
486,Étienne Moulinié
487,Michael Carnes
488,Maurice Ravel
489,Douglas Knehans
490,Aaron Jay Kernis
491,Conrad Paumann
492,Thomas Whythorne
493,Derek Bermel
494,Paul Creston
